127.0.0.1 - - [07/Oct/2021:11:36:05 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:11 +0530] "GET /student-demo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:12 +0530] "GET /student-demo/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:12 +0530] "GET /student-demo/login.jsp HTTP/1.1" 200 3256
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:12 +0530] "GET /student-demo/css/application.login.css HTTP/1.1" 200 995
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:12 +0530] "GET /student-demo/js/axelor.ns.js HTTP/1.1" 200 4602
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:12 +0530] "GET /student-demo/lib/jquery.ui/js/jquery.js HTTP/1.1" 200 293687
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:12 +0530] "GET /student-demo/lib/bootstrap/js/bootstrap.js HTTP/1.1" 200 61962
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:12 +0530] "GET /student-demo/img/axelor.png HTTP/1.1" 200 34203
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:13 +0530] "GET /student-demo/css/application.login.css HTTP/1.1" 200 995
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:13 +0530] "GET /student-demo/js/axelor.ns.js HTTP/1.1" 200 4602
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:13 +0530] "GET /student-demo/lib/bootstrap/js/bootstrap.js HTTP/1.1" 200 61962
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:13 +0530] "GET /student-demo/lib/font-awesome/css/font-awesome.css HTTP/1.1" 200 37151
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:13 +0530] "GET /student-demo/lib/jquery.ui/js/jquery.js HTTP/1.1" 200 293687
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:13 +0530] "GET /student-demo/css/view.form.checkbox.css HTTP/1.1" 200 3832
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:13 +0530] "GET /student-demo/css/colors.css HTTP/1.1" 200 8101
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:13 +0530] "GET /student-demo/lib/bootstrap/css/bootstrap-responsive.css HTTP/1.1" 200 22108
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:13 +0530] "GET /student-demo/lib/bootstrap/css/bootstrap.css HTTP/1.1" 200 105501
